,cell_line,timepoint,G1,S,G2,S_dropout,subG1,beyondG2,M
0,184A1,72,0.5804538237029289,0.22918810966340922,0.11497538306773392,0.024047236573737533,0.016531621147804453,0.020205763282208824,0.014598062562177378
1,184A1,time0_ctrl,0.5736616454628574,0.20742047338281164,0.14126501732462168,0.023214236488572345,0.026507690661521102,0.0178767817513832,0.010054154928232958
2,AU565,72,0.5469797309337132,0.266898109460665,0.11670014443589381,0.022420555234484076,0.02075871410297006,0.018266591483908474,0.007976154348365282
3,AU565,time0_ctrl,0.5208037884686832,0.29013828253851837,0.12055224418870626,0.01948692002650667,0.017957100578710233,0.025557109966940716,0.0055045542319349045
4,BT20,72,0.5304770876454282,0.3038013941258881,0.11661009769296506,0.011456367746308309,0.0030276175190524935,0.020870485318716995,0.01375694995164091
5,BT20,time0_ctrl,0.4460226366835853,0.3692004414377724,0.12863215318053667,0.0094969193291626,0.003945483427513154,0.02243235245087556,0.02027001349055447
6,BT474,72,,,,,,,
7,BT474,time0_ctrl,0.4733870960586323,0.1351223531270358,0.1554562348859934,0.042539504625407155,0.0823146509771986,0.08064484201954397,0.030535317980456014
8,BT549,72,0.5040463908722314,0.26245452213094034,0.15042251972799428,0.019470797910739097,0.0235440175926936,0.021687041448090753,0.018374710317310586
9,BT549,time0_ctrl,0.3739211107475429,0.3905954671556678,0.1562703684042153,0.01453753590001578,0.02438626735195351,0.01233807191226979,0.027951178528334897
10,CAL120,72,0.3619201988872476,0.35062791285519895,0.17712686348508966,0.00945691735077766,0.03145676016286704,0.021495282799645184,0.04791606445917396
11,CAL120,time0_ctrl,0.2528660205215653,0.5361261158031952,0.12657689240910477,0.009470087257783054,0.02462082564627495,0.027283003944975147,0.023057054417101847
12,CAL51,72,0.327145390225722,0.39713240005752465,0.15881986936340933,0.014948723897761527,0.009239497471007907,0.08159977595355801,0.011114343031016667
13,CAL51,time0_ctrl,0.3342334332692679,0.4082883516994448,0.1635672945472439,0.01259841172987405,0.008966552167143767,0.05412882310377346,0.018217133483251588
14,CAL851,72,0.43638023789472563,0.2584577056393881,0.18456032502266081,0.02118800204169048,0.010719753729382974,0.0510472468164151,0.037646728855737006
15,CAL851,time0_ctrl,0.46847421088325314,0.23555483494849258,0.18218264127700257,0.01945111932090143,0.019606484460868188,0.04424808459031678,0.030482624519165138
16,CAMA1,72,0.4941758815266788,0.22518488258473016,0.18241172783418438,0.022276514085627214,0.007679495184152993,0.05488634416535761,0.013385154619268619
17,CAMA1,time0_ctrl,0.4828525685573999,0.2937952238238082,0.1496356857823174,0.021383175298232134,0.005921475583186648,0.0346241730765353,0.01178769787852043
18,EFM19,72,0.5357807106282051,0.2395471422948718,0.12229810921794872,0.01933341948717949,0.014454472487179487,0.04741415608974358,0.021171989884615383
19,EFM19,time0_ctrl,0.2758173070616883,0.3900039347337663,0.2063258489058441,0.016227407704545456,0.010702248912337672,0.07510493381168831,0.025818318935064928
20,EVSAT,72,0.30966847039024387,0.43538027765853654,0.13579826104878048,0.022528588756097558,0.02500371673170732,0.07086299887804878,0.0007576864878048781
21,EVSAT,time0_ctrl,0.2190645657750001,0.25345251217083337,0.3993591337583334,0.02870051608333333,0.024092605533333315,0.07533066673750004,0.0
22,HCC1143,72,0.33725323650640826,0.4673751728602776,0.12652771871707272,0.012042556470743218,0.012063271669538021,0.012280498825353335,0.03245754495060688
23,HCC1143,time0_ctrl,0.3209991792930824,0.5147237306161044,0.10690295278795393,0.010905466139425923,0.011811096337793765,0.0115521226154062,0.023105452210232757
24,HCC1187,72,0.2979900343461538,0.23373333367307686,0.1660628970961539,0.036401619211538463,0.05729647448076925,0.20851564125000002,0.0
25,HCC1187,time0_ctrl,0.33817739594999985,0.2312858628875,0.2435443837083335,0.03830225211666667,0.04483401373333336,0.10385609158333331,0.0
26,HCC1395,72,0.46275182151388905,0.20336724215081095,0.17539901163307933,0.03551199651464941,0.035917578385141195,0.04323009818090425,0.043822251621525976
27,HCC1395,time0_ctrl,0.4799262933050512,0.26768048462909916,0.13428477766892036,0.029605650962223066,0.025643295021351962,0.024255339601110554,0.038604158812243924
28,HCC1419,72,0.4321813801468135,0.1502982959735891,0.18813618009342437,0.04177790614034129,0.015198430569324878,0.12614614718408426,0.04626165989242261
29,HCC1419,time0_ctrl,0.2771594159464083,0.11438112893013182,0.1747020055406033,0.09246983310184785,0.19154460136566823,0.10583273434051296,0.0439102807748274
30,HCC1569,72,0.4572446942941176,0.2543841282058823,0.11647968011764706,0.03246785820588235,0.10603542844117649,0.03248774064705882,0.0009004700882352943
31,HCC1569,time0_ctrl,0.4792414133472806,0.24921553593305448,0.13241252707531384,0.030606151602510446,0.0875298827782427,0.020994489322175736,0.0
32,HCC1806,72,0.24679857284923665,0.5601077996447213,0.12584411616808708,0.014769387036429493,0.005227694734847135,0.024466697944904154,0.022785731621773966
33,HCC1806,time0_ctrl,0.23375214752549484,0.5730696496088302,0.1141997091849849,0.014447546745804738,0.003929870264415777,0.030123400168323603,0.03047767650214602
34,HCC1937,72,0.4165191763765981,0.31119089028431657,0.12683000996394825,0.021661445066133475,0.01350329482323498,0.08392096441066567,0.026374219075103015
35,HCC1937,time0_ctrl,0.5563543090413267,0.15482529168035267,0.17254539645348138,0.026676331753287923,0.013015971032086902,0.056722762775137686,0.019859937264326867
36,HCC1954,72,0.35118802168861557,0.3271634756866022,0.18908060806976515,0.02476529120058577,0.024514573349284138,0.06203147516356627,0.021256554841580923
37,HCC1954,time0_ctrl,0.2208391927765123,0.35915188889346655,0.22172682407220815,0.02335056062138459,0.03634889011021151,0.07631531783646538,0.06226732568975172
38,HCC202,72,0.34056424197050567,0.20292997320923017,0.20021795076795537,0.037623812403194706,0.06991321388688801,0.14546121495393688,0.0032895928082892593
39,HCC202,time0_ctrl,0.42407707453017635,0.12389169092860423,0.2145459678323543,0.03703313237479196,0.04839128868203384,0.15122657946474233,0.0008342661872968607
40,HCC38,72,0.6648487567590039,0.20292890622422058,0.0800045939450556,0.009323894422294306,0.016615159653823913,0.008685734527784122,0.017592954467817647
41,HCC38,time0_ctrl,0.6047188072554737,0.2295321287640615,0.07706042358875301,0.0183132543185888,0.016453501513175654,0.01298338837135418,0.04093849618859349
42,HCC70,72,0.3771381858821865,0.3868240620484096,0.10942097385428029,0.022481387359430657,0.00982439780468416,0.08035688895878716,0.013954104092221663
43,HCC70,time0_ctrl,0.36256565550857006,0.3993563930080062,0.12120122075282093,0.018287456410096832,0.008325905464542836,0.06799258667024552,0.022270782185717514
44,HS578T,72,0.5441671685833334,0.14605552691666665,0.11756441433333331,0.030381884999999997,0.12983984641666668,0.01298425379166667,0.019006905124999997
